ID NAP;DIRECCION;Puertos_Utilizados;Puertos_Disponibles;Latitud;Longitud
SM-C02-03-DV;Av. Marconi 1650, TANDIL;3;5;-37,3166615;-59,1233121
SM-C05-30-DV;Maipu 1350, TANDIL;6;2;-37,3257674;-59,1233659
SM-C05-14-DV;Sarmiento 1415, TANDIL;4;4;-37,3206126;-59,125148
SM-C08-14-DV;San Martín 1062, TANDIL;6;2;-37,3234538;-59,1299037
SM-C10-30-DV;General Paz 249, TANDIL;7;1;-37,32908;-59,1295601
SM-C05-06-DV;Marconi 1357, TANDIL;3;5;-37,3186656;-59,1274844
SM-C08-26;1 de Mayo 1104, TANDIL;7;1;-37,3251987;-59,1281383
SM-C10-26-DV;MAIPU 930, TANDIL;6;2;-37,3281094;-59,1297481
SM-C10-22-DV;PAZ 533, TANDIL;7;1;-37,3254354;-59,1317714
SM-C09-14-DV;SANTAMARINA 555, TANDIL;5;3;-37,3245198;-59,1302051
SM-C05-18-DV;Pinto 1372, TANDIL;3;5;-37,3231104;-59,1246153
SM-C08-10-DV;Sarmiento 1153, TANDIL;4;4;-37,3221481;-59,1291422
SM-C08-30-DV;Maipu 1120, TANDIL;4;4;-37,3267964;-59,1269455
SM-C06-34-DV;Roca 135, TANDIL;3;5;-37,3280544;-59,1227766
SM-C10-34-DV;25 de mayo 840, TANDIL;3;5;-37,3300099;-59,1299868
SM-C10-18-DV;Belgrano 975 - Nexus II, TANDIL;5;11;-37,3228885;-59,1202992
SM-C05-34-DV;Maipu 1335, TANDIL;3;5;-37,3260244;-59,1234956
SM-C09-06-DV;San Martín 1001, TANDIL;5;3;-37,3240545;-59,1305023
SM-C03-06;Mitre 1542, TANDIL;2;6;-37,3185558;-59,1243009
SM-C07-14-DV;Pinto 1142, TANDIL;3;5;-37,3242928;-59,1280203
SM-C01-14-DV;Av. Buzón 530, TANDIL;1;7;-37,3204217;-59,1185478
SM-C03-03;Mitre 1551, TANDIL;2;6;-37,3187704;-59,1239876
SM-C08-34-DV;25 de mayo 1069, TANDIL;2;6;-37,3287886;-59,126693
C04-R014-01;Alsina1204, TANDIL;7;1;-37,3157818;-59,1322584
C04-R013-04;Las Heras y 4 de Abril, TANDIL;3;5;-37,3174873;-59,1327602
